,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Jessica Darrow,spotify:artist:4vdAAzZBUKbsrvHi6UR7B7,Surface Pressure,spotify:track:760jhRscwGbIIe1m1IIQpU,202226,False,Encanto (Original Motion Picture Soundtrack),92
1,Leslie Odom Jr.,spotify:artist:3cR4rhS2hBWqI7rJEBacvN,Non-Stop,spotify:track:7qfoq1JFKBUEIvhqOHzuqX,385438,False,Hamilton (Original Broadway Cast Recording),70
2,RenÃ©e Elise Goldsberry,spotify:artist:5VJN4jB6PqqEg4kJiAj6Eu,Satisfied,spotify:track:3dP0pLbg9OfVwssDjp9aT0,329228,False,Hamilton (Original Broadway Cast Recording),73
3,Joseph Trapanese,spotify:artist:566MlWaCa63jvMZV9YMj3V,"Burn Butcher Burn - from ""The Witcher: Season 2"" Soundtrack",spotify:track:6Hp57iv0VLGgmWyOFx8iUm,159430,False,The Witcher: Season 2 (Soundtrack from the Netflix Original Series),76
4,Ryan McCartan,spotify:artist:0E3lRHTut04XpirvWC45bn,Meant to Be Yours,spotify:track:6YYeBYEpkiR84eCDNPBDoF,205826,True,Heathers: The Musical (World Premiere Cast Recording),67
5,Andrew Garfield,spotify:artist:2garjIdgTW5i89s4Z3UT72,"30/90 (from ""tick, tick... BOOM!"" Soundtrack from the Netflix Film)",spotify:track:55MIRLbZzpYSmMlRt9ZDWM,262505,True,"tick, tick... BOOM! (Soundtrack from the Netflix Film)",82
6,Carrie Hope Fletcher,spotify:artist:3b3GjhElzysJ0xS72u9u9k,You're Welcome,spotify:track:25wSBOvczKcXklW0Iub1CE,187653,False,Heathers the Musical (Original West End Cast Recording),48
7,Carolina GaitÃ¡n - La Gaita,spotify:artist:29PgYEggDV3cDP9QYTogwv,We Don't Talk About Bruno,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,216120,False,Encanto (Original Motion Picture Soundtrack),95
8,Ryan McCartan,spotify:artist:0E3lRHTut04XpirvWC45bn,Our Love Is God,spotify:track:7yxJmjusZamXwg4mZdnHxa,318360,True,Heathers: The Musical (World Premiere Cast Recording),53
9,Alex Brightman,spotify:artist:7abCELr0U2E5K2nPjVtWkN,Say My Name,spotify:track:3PzAUMMxPcaXEfWEvMx469,235286,False,Beetlejuice (Original Broadway Cast Recording),67
