,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Penelope Scott,spotify:artist:3u6lPufHw4Oww6D88rv6sB,RÃ¤t,spotify:track:25z6kpmIwkCUqk2IORrJ5v,194165,True,Public Void,78
1,CORPSE,spotify:artist:7yntSJ6uojO3z6GFUVwhAW,Never Satisfied,spotify:track:04bEhujOxzNrXeideMtFuR,119431,True,Never Satisfied,68
2,CORPSE,spotify:artist:7yntSJ6uojO3z6GFUVwhAW,E-GIRLS ARE RUINING MY LIFE!,spotify:track:7bCfHiRcfUjG0YVVNUL7Ve,105176,True,E-GIRLS ARE RUINING MY LIFE!,78
3,CORPSE,spotify:artist:7yntSJ6uojO3z6GFUVwhAW,Miss YOU!,spotify:track:3pXVmZh293nWtqxildz9jf,92856,True,Miss YOU!,71
4,Seether,spotify:artist:6B5c4sch27tWHAGdarpPaW,FMLYHM,spotify:track:7kwsODkk97z4tn9pW3GkaK,208186,True,Finding Beauty In Negative Spaces (Bonus Track Version),53
5,Mothica,spotify:artist:1JhiIIXT9DWqEU3BYFZwGA,forever fifteen,spotify:track:6tNzuncNnhrrF6nUDWK4wh,225271,False,forever fifteen,63
6,The Red Jumpsuit Apparatus,spotify:artist:1SImpQO0GbjRgvlwCcCtFo,Face Down,spotify:track:4wzjNqjKAKDU82e8uMhzmr,192000,False,Don't You Fake It,77
7,Penelope Scott,spotify:artist:3u6lPufHw4Oww6D88rv6sB,Cigarette Ahegao,spotify:track:6UYJYgY8VRo6mKrhgTe1CF,183992,True,Public Void,70
8,Halestorm,spotify:artist:6om12Ev5ppgoMy3OYSoech,I Miss the Misery,spotify:track:60rHc4AkLlP4XVSATvBb6K,183506,False,The Strange Case of...,62
9,Slush Puppy,spotify:artist:58eJhHRICp87T2IFcP0bYh,EAT SPIT! (feat. Royal & the Serpent),spotify:track:1aFP0G0GHQAAH9gfC95wT1,123571,True,EAT SPIT! (feat. Royal & the Serpent),67
